"pclass","sex","age","family_size","fare","embarked"
3,1,34.5,0,7.8292,2
3,0,47.0,1,7.0,0
2,1,62.0,0,9.6875,2
3,1,27.0,0,8.6625,0
3,0,22.0,2,12.2875,0
3,1,14.0,0,9.225,0
3,0,30.0,0,7.6292,2
2,1,26.0,2,29.0,0
3,0,18.0,0,7.2292,1
3,1,21.0,2,24.15,0
3,1,0.2708333333333333,0,7.8958,0
1,1,46.0,0,26.0,0
1,0,23.0,1,82.2667,0
2,1,63.0,1,26.0,0
1,0,47.0,1,61.175,0
2,0,24.0,1,27.7208,1
2,1,35.0,0,12.35,2
3,1,21.0,0,7.225,1
3,0,27.0,1,7.925,0
3,0,45.0,0,7.225,1
1,1,55.0,1,59.4,1
3,1,9.0,1,3.1708,0
1,0,0.5972222222222222,0,31.6833,0
1,1,21.0,1,61.3792,1
1,0,48.0,4,262.375,1
3,1,50.0,1,14.5,0
1,0,22.0,1,61.9792,1
3,1,22.5,0,7.225,1
1,1,41.0,0,30.5,0
3,1,0.2708333333333333,2,21.6792,1
2,1,50.0,1,26.0,0
2,1,24.0,2,31.5,0
3,0,33.0,3,20.575,0
3,0,0.5972222222222222,3,23.45,0
1,1,30.0,1,57.75,1
3,1,18.5,0,7.2292,1
3,0,0.5512820512820513,0,8.05,0
3,0,21.0,0,8.6625,0
3,1,25.0,0,9.5,0
3,1,0.2708333333333333,0,56.4958,0
3,1,39.0,1,13.4167,1
1,1,0.2708333333333333,0,26.55,0
3,1,41.0,0,7.85,0
2,0,30.0,0,13.0,0
1,0,45.0,1,52.5542,0
3,1,25.0,0,7.925,0
1,1,45.0,0,29.7,1
3,1,0.2708333333333333,0,7.75,2
1,0,60.0,0,76.2917,1
3,0,36.0,2,15.9,0
1,1,24.0,1,60.0,0
2,1,27.0,0,15.0333,1
2,0,20.0,3,23.0,0
1,0,28.0,5,263.0,0
2,1,0.2708333333333333,0,15.5792,1
3,1,10.0,5,29.125,2
3,1,35.0,0,7.8958,0
3,1,25.0,0,7.65,0
3,1,0.2708333333333333,1,16.1,0
1,0,36.0,0,262.375,1
3,1,17.0,0,7.8958,0
2,1,32.0,0,13.5,0
3,1,18.0,0,7.75,0
3,0,22.0,0,7.725,2
1,1,13.0,4,262.375,1
2,0,0.5972222222222222,0,21.0,0
3,0,18.0,0,7.8792,2
1,1,47.0,0,42.4,0
1,1,31.0,0,28.5375,1
1,0,60.0,5,263.0,0
3,0,24.0,0,7.75,2
3,1,21.0,0,7.8958,0
3,0,29.0,0,7.925,0
1,1,28.5,0,27.7208,1
1,0,35.0,0,211.5,1
1,1,32.5,0,211.5,1
3,1,0.2708333333333333,0,8.05,0
1,0,55.0,2,25.7,0
2,1,30.0,0,13.0,0
3,0,24.0,0,7.75,2
3,1,6.0,2,15.2458,1
1,1,67.0,1,221.7792,0
1,1,49.0,0,26.0,0
3,1,0.2708333333333333,0,7.8958,0
2,1,0.2708333333333333,0,10.7083,2
3,1,0.2708333333333333,1,14.4542,1
3,0,27.0,0,7.8792,2
3,0,18.0,0,8.05,0
3,0,0.0,0,7.75,2
2,1,2.0,2,23.0,0
3,0,22.0,1,13.9,0
3,1,0.2708333333333333,0,7.775,0
1,0,27.0,3,52.0,0
3,1,0.2708333333333333,0,8.05,0
1,1,25.0,0,26.0,1
3,1,25.0,0,7.7958,0
1,0,76.0,1,78.85,0
3,1,29.0,0,7.925,0
3,0,20.0,0,7.8542,0
3,1,33.0,0,8.05,0
1,0,43.0,1,55.4417,1
2,1,27.0,1,26.0,0
3,1,0.2708333333333333,0,7.75,2
3,1,26.0,0,7.775,0
3,0,16.0,2,8.5167,1
3,1,28.0,0,22.525,0
3,1,21.0,0,7.8208,2
3,1,0.2708333333333333,0,7.75,2
3,1,0.2708333333333333,0,8.7125,0
2,1,18.5,0,13.0,0
2,1,41.0,0,15.0458,1
3,0,0.5512820512820513,0,7.7792,2
1,0,36.0,0,31.6792,1
3,0,18.5,0,7.2833,2
1,0,63.0,1,221.7792,0
3,1,18.0,1,14.4542,1
3,1,0.2708333333333333,0,6.4375,1
3,0,1.0,2,16.7,0
1,1,36.0,0,75.2417,1
2,0,29.0,1,26.0,0
2,0,12.0,0,15.75,0
3,1,0.2708333333333333,1,7.75,2
1,0,35.0,1,57.75,1
3,1,28.0,0,7.25,0
3,1,0.2708333333333333,0,7.75,2
3,0,17.0,1,16.1,0
3,1,22.0,0,7.7958,0
3,0,0.5512820512820513,2,23.25,2
2,1,42.0,0,13.0,0
3,1,24.0,0,8.05,0
3,1,32.0,0,8.05,0
1,1,53.0,0,28.5,1
3,0,0.5972222222222222,4,25.4667,0
3,1,0.2708333333333333,1,6.4375,1
3,1,43.0,0,7.8958,0
3,1,24.0,0,7.8542,0
3,1,26.5,0,7.225,1
2,1,26.0,0,13.0,0
3,0,23.0,0,8.05,0
3,1,40.0,7,46.9,0
3,0,10.0,7,46.9,0
1,0,33.0,0,151.55,0
1,1,61.0,4,262.375,1
2,1,28.0,0,26.0,0
1,1,42.0,0,26.55,0
3,1,31.0,3,18.0,0
1,1,0.2708333333333333,0,51.8625,0
3,1,22.0,0,8.05,0
1,1,0.2708333333333333,0,26.55,0
2,1,30.0,2,26.0,0
1,0,23.0,1,83.1583,1
3,1,0.2708333333333333,0,7.8958,1
3,1,60.5,0,7.8958,0
3,0,36.0,2,12.1833,0
3,1,13.0,6,31.3875,0
3,1,24.0,0,7.55,0
1,0,29.0,0,221.7792,0
3,0,23.0,0,7.8542,0
1,1,42.0,0,26.55,0
3,0,26.0,2,13.775,0
3,0,0.5512820512820513,0,7.7333,2
3,1,7.0,2,15.2458,1
2,0,26.0,0,13.5,0
3,1,0.2708333333333333,0,7.0,0
2,1,41.0,0,13.0,0
3,0,26.0,2,22.025,0
1,1,48.0,0,50.4958,1
3,1,18.0,4,34.375,0
1,0,0.5972222222222222,0,27.7208,1
3,0,22.0,0,8.9625,0
3,1,0.2708333333333333,0,7.55,0
3,1,27.0,0,7.225,1
3,1,23.0,1,13.9,0
3,1,0.2708333333333333,0,7.2292,1
3,1,40.0,6,31.3875,0
2,0,15.0,2,39.0,0
2,0,20.0,0,36.75,0
1,1,54.0,1,55.4417,1
2,0,36.0,3,39.0,0
1,0,64.0,2,83.1583,1
2,1,30.0,0,13.0,0
1,1,37.0,2,83.1583,1
1,0,18.0,1,53.1,0
3,1,0.2708333333333333,0,7.75,2
1,0,27.0,2,247.5208,1
2,1,40.0,0,16.0,0
2,0,21.0,1,21.0,0
3,1,17.0,2,8.05,0
3,0,0.5512820512820513,10,69.55,0
2,1,40.0,0,13.0,0
2,1,34.0,1,26.0,0
1,1,0.2708333333333333,0,26.0,0
3,1,11.5,2,14.5,0
2,1,61.0,0,12.35,2
2,1,8.0,2,32.5,0
3,1,33.0,0,7.8542,0
1,1,6.0,2,134.5,1
3,0,18.0,0,7.775,0
2,1,23.0,0,10.5,0
3,0,0.5972222222222222,0,8.1125,0
3,0,0.5512820512820513,0,15.5,2
3,1,0.33,2,14.4,0
1,1,47.0,1,227.525,1
2,0,8.0,2,26.0,0
2,1,25.0,0,10.5,0
1,1,0.2708333333333333,0,25.7417,1
3,0,35.0,0,7.75,2
2,1,24.0,0,10.5,0
1,0,33.0,0,27.7208,1
3,1,25.0,0,7.8958,0
3,1,32.0,0,22.525,0
3,1,0.2708333333333333,0,7.05,0
2,1,17.0,0,73.5,0
2,0,60.0,1,26.0,0
3,0,38.0,6,7.775,0
1,1,42.0,0,42.5,0
3,0,0.5512820512820513,0,7.8792,2
1,1,57.0,2,164.8667,0
1,0,50.0,2,211.5,1
3,1,0.2708333333333333,0,8.05,0
2,0,30.0,1,13.8583,1
3,1,21.0,0,8.05,0
2,0,22.0,0,10.5,0
3,1,21.0,0,7.7958,0
1,0,53.0,0,27.4458,1
3,0,0.5972222222222222,2,15.2458,1
3,1,23.0,0,7.7958,0
3,0,0.5512820512820513,0,7.75,2
3,1,40.5,0,15.1,0
2,1,36.0,0,13.0,0
2,1,14.0,0,65.0,0
1,0,21.0,0,26.55,0
3,1,21.0,1,6.4958,0
3,1,0.2708333333333333,0,7.8792,2
1,1,39.0,1,71.2833,1
3,1,20.0,0,7.8542,0
1,1,64.0,1,75.25,1
3,1,20.0,0,7.225,1
2,0,18.0,2,13.0,0
1,0,48.0,1,106.425,1
1,0,55.0,0,27.7208,1
2,0,45.0,2,30.0,0
1,1,45.0,2,134.5,1
3,1,0.2708333333333333,0,7.8875,0
3,1,1.5714285714285714,3,23.45,0
1,1,41.0,1,51.8625,0
2,0,22.0,0,21.0,0
2,1,42.0,2,32.5,0
2,0,29.0,1,26.0,0
3,0,0.5972222222222222,1,14.4542,1
2,0,0.92,3,27.75,0
3,1,20.0,0,7.925,0
1,1,27.0,1,136.7792,1
3,1,24.0,0,9.325,0
3,1,32.5,0,9.5,0
3,1,0.2708333333333333,0,7.55,0
3,1,0.2708333333333333,0,7.75,2
3,1,28.0,0,8.05,0
2,0,19.0,0,13.0,0
3,1,21.0,0,7.775,0
3,1,36.5,1,17.4,0
3,1,21.0,0,7.8542,0
2,0,29.0,2,23.0,0
3,0,1.0,2,12.1833,0
2,1,30.0,0,12.7375,1
3,1,0.2708333333333333,0,7.8958,0
1,1,0.2708333333333333,0,0.0,0
3,1,0.2708333333333333,0,7.55,0
3,0,0.5512820512820513,0,8.05,0
3,1,17.0,0,8.6625,0
1,1,46.0,0,75.2417,1
3,1,0.2708333333333333,0,7.75,2
1,0,26.0,1,136.7792,1
3,0,0.5512820512820513,1,15.5,2
3,1,0.2708333333333333,0,7.225,1
2,0,20.0,1,26.0,0
2,1,28.0,0,10.5,0
2,1,40.0,1,26.0,0
2,1,30.0,1,21.0,0
2,1,22.0,0,10.5,0
3,0,23.0,0,8.6625,0
3,1,0.75,2,13.775,0
3,0,0.5512820512820513,0,7.75,2
3,0,9.0,2,15.2458,1
3,0,2.0,2,20.2125,0
3,1,36.0,0,7.25,0
3,1,0.2708333333333333,0,7.25,0
1,1,24.0,1,82.2667,0
3,1,0.2708333333333333,0,7.2292,1
3,1,0.2708333333333333,0,8.05,0
1,1,0.2708333333333333,0,39.6,0
3,0,30.0,0,6.95,2
3,1,0.2708333333333333,0,7.2292,1
1,1,53.0,2,81.8583,0
3,1,36.0,0,9.5,0
3,1,26.0,0,7.8958,0
2,0,1.0,3,41.5792,1
3,1,0.2708333333333333,2,21.6792,1
1,1,30.0,0,45.5,0
3,1,29.0,0,7.8542,0
3,1,32.0,0,7.775,0
2,1,0.2708333333333333,0,15.0458,1
2,1,43.0,1,21.0,0
3,1,24.0,0,8.6625,0
3,0,0.5512820512820513,0,7.75,2
1,0,64.0,2,26.55,0
1,1,30.0,3,151.55,0
3,1,0.83,1,9.35,0
1,1,55.0,2,93.5,0
3,0,45.0,1,14.1083,0
3,1,18.0,0,8.6625,0
3,1,22.0,0,7.225,1
3,1,0.2708333333333333,0,7.575,0
3,0,37.0,0,7.75,2
1,0,55.0,0,135.6333,1
3,0,17.0,0,7.7333,2
1,1,57.0,1,146.5208,1
2,1,19.0,0,10.5,0
3,1,27.0,0,7.8542,0
2,1,22.0,2,31.5,0
3,1,26.0,0,7.775,0
3,1,25.0,0,7.2292,1
2,1,26.0,0,13.0,0
1,1,33.0,0,26.55,0
1,0,39.0,0,211.3375,0
3,1,23.0,0,7.05,0
2,0,12.0,3,39.0,0
1,1,46.0,0,79.2,1
2,1,29.0,1,26.0,0
2,1,21.0,0,13.0,0
2,0,48.0,2,36.75,0
1,1,39.0,0,29.7,1
3,1,0.2708333333333333,0,7.225,1
3,0,19.0,2,15.7417,1
3,1,27.0,0,7.8958,0
1,1,30.0,0,26.0,0
2,1,32.0,0,13.0,0
3,1,39.0,2,7.2292,1
2,1,25.0,0,31.5,0
3,1,1.5714285714285714,0,7.2292,1
2,1,18.0,0,10.5,0
3,1,32.0,0,7.5792,0
3,1,0.2708333333333333,10,69.55,0
1,0,58.0,1,512.3292,1
3,1,1.5714285714285714,2,14.5,0
3,0,16.0,0,7.65,0
2,1,26.0,0,13.0,0
3,0,38.0,0,7.2292,1
2,1,24.0,0,13.5,0
2,0,31.0,0,21.0,0
1,0,45.0,1,63.3583,1
2,1,25.0,0,10.5,0
2,1,18.0,0,73.5,0
2,1,49.0,3,65.0,0
3,0,0.17,3,20.575,0
1,1,50.0,0,26.0,0
1,0,59.0,2,51.4792,0
3,1,0.2708333333333333,0,7.8792,0
3,1,0.2708333333333333,0,7.75,2
3,0,30.0,1,15.55,0
3,1,14.5,10,69.55,0
2,0,24.0,2,37.0042,1
2,0,31.0,0,21.0,0
3,1,27.0,0,8.6625,0
1,0,25.0,1,55.4417,1
3,0,0.5972222222222222,10,69.55,0
3,1,0.2708333333333333,1,14.4583,1
3,0,22.0,0,39.6875,0
1,0,45.0,1,59.4,1
2,1,29.0,0,13.8583,1
2,1,21.0,1,11.5,0
1,0,31.0,0,134.5,1
1,1,49.0,0,0.0,0
2,1,44.0,0,13.0,0
1,0,54.0,2,81.8583,0
1,0,45.0,0,262.375,1
3,0,22.0,2,8.6625,0
2,1,21.0,0,11.5,0
1,1,55.0,0,50.0,0
3,1,5.0,6,31.3875,0
3,1,0.2708333333333333,0,7.75,2
3,1,26.0,0,7.8792,2
3,0,0.5972222222222222,0,14.5,0
3,0,19.0,1,16.1,0
2,1,0.2708333333333333,0,12.875,0
2,0,24.0,3,65.0,0
3,1,24.0,0,7.775,0
2,1,57.0,0,13.0,0
3,1,21.0,0,7.75,2
3,1,6.0,4,21.075,0
1,1,23.0,0,93.5,0
1,0,51.0,1,39.4,0
3,1,13.0,2,20.25,0
2,1,47.0,0,10.5,0
3,1,29.0,4,22.025,0
1,0,18.0,1,60.0,0
3,1,24.0,0,7.25,2
1,0,48.0,2,79.2,1
3,1,22.0,0,7.775,0
3,1,31.0,0,7.7333,2
1,0,30.0,0,164.8667,0
2,1,38.0,1,21.0,0
1,0,22.0,1,59.4,1
1,1,17.0,0,47.1,0
1,1,43.0,1,27.7208,1
2,1,20.0,0,13.8625,1
2,1,23.0,1,10.5,0
1,1,50.0,2,211.5,1
3,0,0.5512820512820513,0,7.7208,2
3,0,3.0,2,13.775,0
3,0,0.5512820512820513,0,7.75,2
1,0,37.0,1,90.0,2
3,0,28.0,0,7.775,0
3,1,0.2708333333333333,0,8.05,0
1,0,39.0,0,108.9,1
3,1,38.5,0,7.25,0
3,1,0.2708333333333333,0,8.05,0
3,1,1.5714285714285714,2,22.3583,1
